PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,CharacterCount
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimSalesOverview,CREATE TABLE,SALES,01-tables.sql,20,30,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2040 | MSCEWI2053 | MSCEWI1036 | MSCEWI2015,,,--,100%,7,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimSalesReason,CREATE TABLE,SALES,01-tables.sql,56,12,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,FactSalesQuota,CREATE TABLE,SALES,01-tables.sql,73,15,Low,Fully Converted,MSCEWI2008,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,PERSON_EMPLOYMENT_PERIOD,CREATE TABLE,HR,01-tables.sql,94,9,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065,,,--,100%,3,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,TEMP_QUAL_TABLE,CREATE TABLE,PRODUCT,01-tables.sql,108,16,,Fully Converted,,,,--,100%,0,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimEmployee,CREATE TABLE,HR,01-tables.sql,130,39,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2015,,,--,100%,6,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,EMPLOYEE_DUPE,CREATE TABLE,HR,01-tables.sql,171,2,,Fully Converted,,,,--,100%,0,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimGeography,CREATE TABLE,PRODUCT,01-tables.sql,175,19,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimAccount,CREATE TABLE,PRODUCT,01-tables.sql,196,18,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimDepartmentGroup,CREATE TABLE,PRODUCT,01-tables.sql,216,11,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,FactCallCenter,CREATE TABLE,HR,01-tables.sql,229,22,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimPromotion,CREATE TABLE,SALES,01-tables.sql,253,24,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimOrganization,CREATE TABLE,HR,01-tables.sql,279,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimProduct,CREATE TABLE,PRODUCT,01-tables.sql,294,44,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2015,,,--,100%,3,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,FactSurveyResponse,CREATE TABLE,SALES,01-tables.sql,340,16,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,FactCurrencyRate,CREATE TABLE,SALES,01-tables.sql,358,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimSalesTerritory,CREATE TABLE,SALES,01-tables.sql,373,14,Low,Fully Converted,MSCEWI2013 | MSCEWI2015,,,--,100%,2,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimReseller,CREATE TABLE,SALES,01-tables.sql,389,28,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimProductCategory,CREATE TABLE,PRODUCT,01-tables.sql,419,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,FactInternetSalesReason,CREATE TABLE,SALES,01-tables.sql,434,10,Low,Fully Converted,MSCEWI2065 | MSCEWI2015,,,--,100%,2,,
828afdac-d04a-459f-8710-d4d791e407fd,SQL,DimDate,CREATE TABLE,HR,01-tables.sql,446,27,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
