PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,CharacterCount
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,DimProductCategory,CREATE TABLE,PRODUCT,01-tables.sql,419,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,FactInternetSalesReason,CREATE TABLE,SALES,01-tables.sql,434,10,Low,Fully Converted,MSCEWI2065 | MSCEWI2015,,,--,100%,2,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,DimDate,CREATE TABLE,HR,01-tables.sql,446,27,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,FactFinance,CREATE TABLE,HR,01-tables.sql,476,16,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,DimProductSubcategory,CREATE TABLE,PRODUCT,01-tables.sql,494,14,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,FactSalesQuota,CREATE TABLE,SALES,01-tables.sql,510,15,Low,Fully Converted,MSCEWI2008,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,DimCurrency,CREATE TABLE,HR,01-tables.sql,529,11,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,FactInternetSales,CREATE TABLE,SALES,01-tables.sql,544,34,Low,Fully Converted,MSCEWI2065 | MSCEWI2008,,,--,100%,2,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,DimScenario,CREATE TABLE,PRODUCT,01-tables.sql,581,10,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,DimCustomer,CREATE TABLE,SALES,01-tables.sql,593,37,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,PERSON_EMPLOYMENT_PERIOD,CREATE TABLE,HR,01-tables.sql,632,9,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065,,,--,100%,3,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,ACT_COUNT,CREATE TABLE,HR,01-tables.sql,643,9,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,
